Date,Team,Versus,Opponent,Score,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year
Sat2/20,OKC,@,NYK,W121-118,47,13,23,56.5,0,0,,5,8,62.5,3,6,9,10,0,0,4,4,31,+8,2010.0
Tue2/16,OKC,vs,DAL,W99-86,35,6,11,54.5,0,0,,5,8,62.5,1,5,6,8,1,0,1,1,17,+6,2010.0
Tue2/9,OKC,@,POR,W89-77,32,2,9,22.2,0,1,0.0,4,4,100.0,4,1,5,7,3,0,4,1,8,+10,2010.0
Sat2/6,OKC,@,GSW,W104-95,36,8,17,47.1,0,0,,5,6,83.3,2,5,7,10,8,0,2,1,21,+10,2010.0
Wed2/3,OKC,@,NOH,W103-99,35,11,18,61.1,0,0,,4,6,66.7,1,7,8,10,0,1,2,1,26,+7,2010.0
Tue2/2,OKC,vs,ATL,W106-99,36,5,16,31.3,0,1,0.0,2,2,100.0,5,4,9,9,2,0,1,3,12,+7,2010.0
Average,,,,,36.4,7.3,15.7,46.2,0.0,0.5,0.0,4.3,5.8,73.4,2.3,4.3,6.5,10.0,2.4,0.2,2.3,1.8,18.8,9.5,2010.0
Sun1/31,OKC,vs,GSW,W112-104,45,7,14,50.0,0,0,,14,17,82.4,1,4,5,8,2,0,4,4,28,+13,2010.0
Fri1/29,OKC,vs,DEN,W101-84,32,5,11,45.5,0,0,,2,4,50.0,0,3,3,8,0,0,2,1,12,+25,2010.0
Wed1/27,OKC,vs,CHI,L86-96,31,5,11,45.5,0,0,,0,1,0.0,0,2,2,7,1,0,4,2,10,-6,2010.0
Sat1/23,OKC,@,CLE,L99-100,35,8,18,44.4,0,1,0.0,7,9,77.8,1,1,2,5,2,0,2,3,23,-3,2010.0
Fri1/22,OKC,@,MEM,L84-86,25,3,8,37.5,0,0,,2,3,66.7,2,5,7,3,0,0,5,2,8,-10,2010.0
Wed1/20,OKC,@,MIN,W94-92,34,3,10,30.0,0,0,,3,4,75.0,0,3,3,9,0,0,7,2,9,-12,2010.0
Mon1/18,OKC,@,ATL,W94-91,32,3,9,33.3,0,0,,2,2,100.0,3,1,4,9,1,0,3,2,8,+4,2010.0
Sat1/16,OKC,vs,MIA,W98-80,27,1,6,16.7,0,0,,4,4,100.0,0,1,1,11,1,0,7,1,6,+4,2010.0
Fri1/15,OKC,@,DAL,L98-99,37,8,19,42.1,0,2,0.0,2,2,100.0,2,2,4,6,2,1,4,5,18,-2,2010.0
Wed1/13,OKC,vs,SAS,L108-109,50,9,24,37.5,0,0,,7,9,77.8,2,4,6,13,0,0,3,3,25,+6,2010.0
Mon1/11,OKC,vs,NYK,W106-88,25,7,11,63.6,0,0,,3,4,75.0,2,1,3,5,2,0,0,0,17,+20,2010.0
Sat1/9,OKC,vs,IND,W108-102,37,8,16,50.0,0,0,,2,3,66.7,2,7,9,6,0,0,5,6,18,+13,2010.0
