Opponent,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Team score,Opponent score,date,Season,Lose,Win,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,HOU,LAC,LAL,OKC,WAS,Playoff,Regular
SAC,39.0,10.0,20.0,50.0,1.0,2.0,50.0,1.0,1.0,100.0,2.0,3.0,5.0,4.0,0.0,0.0,7.0,2.0,22.0,-3.0,2009,99,98,2009-03-10,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DEN,29.0,5.0,13.0,38.5,0.0,0.0,0.0,3.0,4.0,75.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,13.0,-22.0,2009,99,112,2009-03-11,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
PHX,35.0,6.0,12.0,50.0,0.0,0.0,0.0,8.0,8.0,100.0,1.0,5.0,6.0,7.0,0.0,0.0,8.0,4.0,20.0,-15.0,2009,95,106,2009-03-14,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
SAS,33.0,4.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,2.0,2.0,0.0,1.0,2.0,8.0,-12.0,2009,78,76,2009-03-16,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
CHI,38.0,6.0,16.0,37.5,0.0,2.0,0.0,3.0,4.0,75.0,0.0,2.0,2.0,6.0,1.0,0.0,4.0,2.0,15.0,-6.0,2009,96,103,2009-03-18,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
UTA,35.0,9.0,18.0,50.0,1.0,1.0,100.0,3.0,4.0,75.0,0.0,3.0,3.0,4.0,0.0,0.0,4.0,4.0,22.0,-10.0,2009,94,101,2009-03-20,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
MIN,36.0,2.0,10.0,20.0,0.0,1.0,0.0,3.0,4.0,75.0,4.0,4.0,8.0,10.0,2.0,2.0,2.0,2.0,7.0,10.0,2009,97,90,2009-03-22,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
LAL,31.0,2.0,11.0,18.2,0.0,1.0,0.0,6.0,6.0,100.0,0.0,5.0,5.0,6.0,1.0,0.0,4.0,4.0,10.0,-11.0,2009,89,107,2009-03-24,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
TOR,26.0,5.0,11.0,45.5,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,5.0,0.0,0.0,4.0,1.0,10.0,-11.0,2009,96,112,2009-03-27,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
BOS,39.0,8.0,18.0,44.4,0.0,1.0,0.0,7.0,8.0,87.5,2.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,23.0,-14.0,2009,84,103,2009-03-29,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
SAS,38.0,6.0,15.0,40.0,0.0,1.0,0.0,4.0,6.0,66.7,2.0,1.0,3.0,10.0,2.0,0.0,2.0,1.0,16.0,1.0,2009,96,95,2009-03-31,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
POR,28.0,1.0,8.0,12.5,0.0,1.0,0.0,6.0,8.0,75.0,2.0,6.0,8.0,4.0,1.0,1.0,1.0,0.0,8.0,-24.0,2009,72,107,2009-04-03,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
IND,24.0,4.0,9.0,44.4,0.0,1.0,0.0,3.0,6.0,50.0,4.0,3.0,7.0,4.0,3.0,0.0,2.0,2.0,11.0,-15.0,2009,99,117,2009-04-05,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
SAS,31.0,3.0,10.0,30.0,0.0,0.0,0.0,4.0,6.0,66.7,3.0,2.0,5.0,6.0,3.0,1.0,4.0,3.0,10.0,-9.0,2009,89,99,2009-04-07,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DEN,33.0,6.0,13.0,46.2,0.0,2.0,0.0,2.0,3.0,66.7,2.0,4.0,6.0,11.0,1.0,0.0,5.0,4.0,14.0,-7.0,2009,112,122,2009-04-08,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
CHA,37.0,3.0,9.0,33.3,0.0,0.0,0.0,4.0,4.0,100.0,4.0,2.0,6.0,11.0,1.0,0.0,9.0,2.0,10.0,1.0,2009,84,81,2009-04-10,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
